2002,0.6   ,130.0   ,83.1   ,46.9   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,1.0   ,0.0   ,2.2   
2003,12.0   ,16.3   ,7.2   ,7.2   ,3.5   ,0.4   ,0.8   ,0.0   ,0.0   ,0.0   ,1.0   ,33.3   
2004,14.0   ,9.4   ,16.8   ,43.1   ,3.2   ,0.3   ,0.0   ,0.0   ,2.2   ,5.2   ,0.0   ,1.1   
2005,2.0   ,3.3   ,9.5   ,64.2   ,0.0   ,0.8   ,0.0   ,0.0   ,0.0   ,1.1   ,0.5   ,8.4   
2006,30.0   ,85.5   ,12.0   ,2.7   ,0.0   ,1.0   ,1.2   ,0.3   ,0.0   ,0.0   ,2.3   ,0.6   
2007,34.4   ,7.2   ,13.6   ,1.5   ,2.2   ,0.0   ,0.0   ,1.0   ,0.0   ,0.9   ,1.4   ,1.1   
2008,73.0   ,54.0   ,37.9   ,8.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.7   ,0.0   ,0.0   
2009,55.7   ,49.0   ,5.5   ,6.4   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   
2010,0.0   ,0.0   ,0.0   ,36.6   ,0.0   ,0.0   ,0.0   ,0.0   ,0.2   ,0.0   ,1.4   ,0.0   
2011,9.5   ,13.2   ,4.3   ,12.5   ,2.6   ,0.0   ,2.0   ,0.0   ,0.0   ,0.0   ,0.0   ,1.1   
2012,17.0   ,34.0   ,21.7   ,23.0   ,2.0   ,0.2   ,0.5   ,0.0   ,0.0   ,0.0   ,0.0   ,2.2   
2013,8.4   ,6.2   ,23.7   ,66.0   ,2.5   ,0.0   ,0.5   ,0.0   ,0.0   ,2.5   ,0.0   ,0.0   
2014,8.0   ,7.7   ,10.0   ,1.0   ,12.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,0.0   ,4.3   
